Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"OCCP - 4 Digit Level, AGE5P Age in Five Year Groups, SEXP Sex and QALLP Non-School Qualification: Level of Education by CITP Australian Citizenship and STUP Full-Time/Part-Time Student Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"CITP Australian Citizenship","Australian"
"STUP Full-Time/Part-Time Student Status","Not attending"

"Counting","CITP Australian Citizenship","STUP Full-Time/Part-Time Student Status","OCCP - 4 Digit Level","AGE5P Age in Five Year Groups","SEXP Sex","QALLP Non-School Qualification: Level of Education","Count",
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","25-34","Male","No qualification",742
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","25-34","Male"," Cert III/IV",557
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","25-34","Male","Dip/Ad-dip",293
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","25-34","Male","Bachelor",689
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","25-34","Male","Postgrad",230
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","25-34","Female","No qualification",373
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","25-34","Female"," Cert III/IV",131
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","25-34","Female","Dip/Ad-dip",173
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","25-34","Female","Bachelor",434
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","25-34","Female","Postgrad",171
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","35-44","Male","No qualification",1363
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","35-44","Male"," Cert III/IV",1166
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","35-44","Male","Dip/Ad-dip",685
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","35-44","Male","Bachelor",1340
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","35-44","Male","Postgrad",719
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","35-44","Female","No qualification",635
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","35-44","Female"," Cert III/IV",176
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","35-44","Female","Dip/Ad-dip",370
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","35-44","Female","Bachelor",858
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","35-44","Female","Postgrad",479
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","45-54","Male","No qualification",1852
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","45-54","Male"," Cert III/IV",1513
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","45-54","Male","Dip/Ad-dip",868
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","45-54","Male","Bachelor",1307
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","45-54","Male","Postgrad",899
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","45-54","Female","No qualification",955
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","45-54","Female"," Cert III/IV",203
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","45-54","Female","Dip/Ad-dip",476
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","45-54","Female","Bachelor",692
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","45-54","Female","Postgrad",532
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","55-64","Male","No qualification",1245
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","55-64","Male"," Cert III/IV",984
"Persons Place of Usual Residence","Australian","Not attending","Managers, nfd","55-64","Male","Dip/Ad-dip",564
