Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"OCCP - 4 Digit Level, AGE5P Age in Five Year Groups, SEXP Sex and QALLP Non-School Qualification: Level of Education by STUP Full-Time/Part-Time Student Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"STUP Full-Time/Part-Time Student Status","Not attending"

"Counting","STUP Full-Time/Part-Time Student Status","OCCP - 4 Digit Level","AGE5P Age in Five Year Groups","SEXP Sex","QALLP Non-School Qualification: Level of Education","Count",
"Persons Place of Usual Residence","Not attending","Managers, nfd","25-34","Male","No qualification",859
"Persons Place of Usual Residence","Not attending","Managers, nfd","25-34","Male"," Cert III/IV",603
"Persons Place of Usual Residence","Not attending","Managers, nfd","25-34","Male","Dip/Ad-dip",376
"Persons Place of Usual Residence","Not attending","Managers, nfd","25-34","Male","Bachelor",875
"Persons Place of Usual Residence","Not attending","Managers, nfd","25-34","Male","Postgrad",347
"Persons Place of Usual Residence","Not attending","Managers, nfd","25-34","Female","No qualification",456
"Persons Place of Usual Residence","Not attending","Managers, nfd","25-34","Female"," Cert III/IV",151
"Persons Place of Usual Residence","Not attending","Managers, nfd","25-34","Female","Dip/Ad-dip",229
"Persons Place of Usual Residence","Not attending","Managers, nfd","25-34","Female","Bachelor",550
"Persons Place of Usual Residence","Not attending","Managers, nfd","25-34","Female","Postgrad",258
"Persons Place of Usual Residence","Not attending","Managers, nfd","35-44","Male","No qualification",1548
"Persons Place of Usual Residence","Not attending","Managers, nfd","35-44","Male"," Cert III/IV",1242
"Persons Place of Usual Residence","Not attending","Managers, nfd","35-44","Male","Dip/Ad-dip",778
"Persons Place of Usual Residence","Not attending","Managers, nfd","35-44","Male","Bachelor",1548
"Persons Place of Usual Residence","Not attending","Managers, nfd","35-44","Male","Postgrad",850
"Persons Place of Usual Residence","Not attending","Managers, nfd","35-44","Female","No qualification",735
"Persons Place of Usual Residence","Not attending","Managers, nfd","35-44","Female"," Cert III/IV",186
"Persons Place of Usual Residence","Not attending","Managers, nfd","35-44","Female","Dip/Ad-dip",432
"Persons Place of Usual Residence","Not attending","Managers, nfd","35-44","Female","Bachelor",1000
"Persons Place of Usual Residence","Not attending","Managers, nfd","35-44","Female","Postgrad",548
"Persons Place of Usual Residence","Not attending","Managers, nfd","45-54","Male","No qualification",2073
"Persons Place of Usual Residence","Not attending","Managers, nfd","45-54","Male"," Cert III/IV",1620
"Persons Place of Usual Residence","Not attending","Managers, nfd","45-54","Male","Dip/Ad-dip",948
"Persons Place of Usual Residence","Not attending","Managers, nfd","45-54","Male","Bachelor",1471
"Persons Place of Usual Residence","Not attending","Managers, nfd","45-54","Male","Postgrad",1033
"Persons Place of Usual Residence","Not attending","Managers, nfd","45-54","Female","No qualification",1078
"Persons Place of Usual Residence","Not attending","Managers, nfd","45-54","Female"," Cert III/IV",226
"Persons Place of Usual Residence","Not attending","Managers, nfd","45-54","Female","Dip/Ad-dip",526
"Persons Place of Usual Residence","Not attending","Managers, nfd","45-54","Female","Bachelor",765
"Persons Place of Usual Residence","Not attending","Managers, nfd","45-54","Female","Postgrad",574
"Persons Place of Usual Residence","Not attending","Managers, nfd","55-64","Male","No qualification",1357
"Persons Place of Usual Residence","Not attending","Managers, nfd","55-64","Male"," Cert III/IV",1064
"Persons Place of Usual Residence","Not attending","Managers, nfd","55-64","Male","Dip/Ad-dip",606
"Persons Place of Usual Residence","Not attending","Managers, nfd","55-64","Male","Bachelor",917
"Persons Place of Usual Residence","Not attending","Managers, nfd","55-64","Male","Postgrad",598
"Persons Place of Usual Residence","Not attending","Managers, nfd","55-64","Female","No qualification",744
"Persons Place of Usual Residence","Not attending","Managers, nfd","55-64","Female"," Cert III/IV",97
"Persons Place of Usual Residence","Not attending","Managers, nfd","55-64","Female","Dip/Ad-dip",264
"Persons Place of Usual Residence","Not attending","Managers, nfd","55-64","Female","Bachelor",411
"Persons Place of Usual Residence","Not attending","Managers, nfd","55-64","Female","Postgrad",310
"Persons Place of Usual Residence","Not attending","Managers, nfd","Over 65","Male","No qualification",729
"Persons Place of Usual Residence","Not attending","Managers, nfd","Over 65","Male"," Cert III/IV",392
"Persons Place of Usual Residence","Not attending","Managers, nfd","Over 65","Male","Dip/Ad-dip",201
"Persons Place of Usual Residence","Not attending","Managers, nfd","Over 65","Male","Bachelor",319
"Persons Place of Usual Residence","Not attending","Managers, nfd","Over 65","Male","Postgrad",178
"Persons Place of Usual Residence","Not attending","Managers, nfd","Over 65","Female","No qualification",378
"Persons Place of Usual Residence","Not attending","Managers, nfd","Over 65","Female"," Cert III/IV",32
"Persons Place of Usual Residence","Not attending","Managers, nfd","Over 65","Female","Dip/Ad-dip",76
"Persons Place of Usual Residence","Not attending","Managers, nfd","Over 65","Female","Bachelor",90
"Persons Place of Usual Residence","Not attending","Managers, nfd","Over 65","Female","Postgrad",60
"Persons Place of Usual Residence","Not attending","Chief Executives, General Managers and Legislators, nfd","25-34","Male","No qualification",6
"Persons Place of Usual Residence","Not attending","Chief Executives, General Managers and Legislators, nfd","25-34","Male"," Cert III/IV",0
