occ_group,occ,No qualification,Cert III/IV,Dip/Ad-dip,Bachelor
Clerical and Administrative Workers,Accounting Clerks,34.96079247131188,16.58460031492414,14.462548779010675,33.9920584347533
Clerical and Administrative Workers,Bank Workers,36.996592993797506,12.290944740494842,11.1625559341118,39.54990633159586
Clerical and Administrative Workers,Betting Clerks,56.42132527519965,15.4327649471185,8.957478955320527,19.188430822361322
Clerical and Administrative Workers,Bookkeepers,34.095600241179135,18.67553924222219,16.474119454090143,30.754741062508526
Clerical and Administrative Workers,Call or Contact Centre Workers,45.46535000957182,19.855146448854573,12.69382936634548,21.98567417522813
Clerical and Administrative Workers,"Clerical and Administrative Workers, nfd",32.37233682786608,16.68921203922895,13.172133919513023,37.76631721339195
Clerical and Administrative Workers,"Contract, Program and Project Administrators",18.13447603057238,13.516561576036569,14.552323141002873,53.796639252388175
Clerical and Administrative Workers,Conveyancers and Legal Executives,31.19041065038413,11.25597457521083,25.259628137434,32.29398663697105
Clerical and Administrative Workers,Couriers and Postal Deliverers,56.44618733248187,18.77821949596158,10.44953319781979,14.326059973736754
Clerical and Administrative Workers,Court and Legal Clerks,31.531415633201256,13.569701024031287,15.653784799053158,39.2450985437143
Clerical and Administrative Workers,Credit and Loans Officers (Aus) / Finance Clerks (NZ),31.132516053706947,12.166624968726545,14.055541656242182,42.645317321324335
Clerical and Administrative Workers,Debt Collectors,40.68373131764301,18.282082116474832,11.671534100669987,29.362652465212165
Clerical and Administrative Workers,Filing and Registry Clerks,37.051720090764455,17.910330977282804,14.571868235048644,30.466080696904093
Clerical and Administrative Workers,"Financial and Insurance Clerks, nfd",25.52424639580603,6.520314547837483,11.795543905635649,56.15989515072084
Clerical and Administrative Workers,General Clerks,41.439267676412804,18.513683287474105,14.95521347727228,25.091835558840806
Clerical and Administrative Workers,Human Resource Clerks,32.01695884146342,20.131478658536587,17.575743140243905,30.275819359756095
Clerical and Administrative Workers,Information Officers,36.59871314774521,20.92489003856821,14.022767386046338,28.453629427640244
Clerical and Administrative Workers,Inspectors and Regulatory Officers,26.643406988979343,21.036558833535075,14.045206053845362,38.27482812364021
Clerical and Administrative Workers,"Insurance Investigators, Loss Adjusters and Risk Surveyors",19.812503732011702,32.441631336955865,14.384665910312295,33.361199020720136
Clerical and Administrative Workers,"Insurance, Money Market and Statistical Clerks",36.039818913142255,15.70457261145425,14.603073091098807,33.652535384304684
Clerical and Administrative Workers,Keyboard Operators,45.595802387772174,18.82271678791412,13.392562926161569,22.188917898152138
Clerical and Administrative Workers,Library Assistants,30.21232674727219,17.708640519020935,19.404305514597464,32.67472721910941
Clerical and Administrative Workers,"Logistics Clerks, nfd",40.94402748892305,18.772040871688215,13.99764897368659,26.286282665702142
Clerical and Administrative Workers,Mail Sorters,59.53985766464585,13.446548932484843,9.632112060850245,17.38148134201905
Clerical and Administrative Workers,"Numerical Clerks, nfd",31.44938457673951,14.644561667922632,15.825169555388092,38.08088419994976
Clerical and Administrative Workers,Office Managers,40.157482390653335,18.46002572862626,17.549770129486692,23.832721751233706
Clerical and Administrative Workers,"Office Managers and Program Administrators, nfd",17.70891755468312,12.57711721817162,13.979248457655636,55.73471676948962
Clerical and Administrative Workers,Other Clerical and Office Support Workers,43.839058047097645,19.97525123743813,11.316934153292335,24.86875656217189
Clerical and Administrative Workers,Other Miscellaneous Clerical and Administrative Workers,28.187720932984277,16.89813787697268,14.796408868379405,40.11773232166363
Clerical and Administrative Workers,Payroll Clerks,41.594985310183176,16.978670598092975,14.696180647624706,26.730163444099148
Clerical and Administrative Workers,Personal Assistants,38.81791700909856,17.194862792201793,21.95276141939437,22.034458779305282
Clerical and Administrative Workers,Practice Managers,28.17495089892733,18.341139144885933,20.142015410182807,33.34189454600393
Clerical and Administrative Workers,Purchasing and Supply Logistics Clerks,43.620788756420005,18.653885376300224,12.90082138950179,24.824504477777985
Clerical and Administrative Workers,Receptionists,46.403186577531216,22.00078225802826,14.683972252318677,16.912058912121854
Clerical and Administrative Workers,Secretaries,51.731099222771775,16.0382466024941,15.734512787101865,16.496141387632253
Clerical and Administrative Workers,Survey Interviewers,26.20922384701913,11.923509561304837,11.717285339332584,50.14998125234346
Clerical and Administrative Workers,Switchboard Operators,53.62055246106627,19.881777878822326,11.538024326474934,14.959645333636466
Clerical and Administrative Workers,Transport and Despatch Clerks,46.232806769848246,21.457684008631023,12.527415931875293,19.782093289645438
Community and Personal Service Workers,Aged and Disabled Carers,25.884237081549934,40.49377816831543,15.210748603985374,18.411236146149268
Community and Personal Service Workers,Ambulance Officers and Paramedics,3.992888081862717,4.876203446253948,24.299684124912517,66.83122434697081
Community and Personal Service Workers,Bar Attendants and Baristas,51.34568381942457,17.697255152160555,11.547970332562405,19.40909069585247
Community and Personal Service Workers,Beauty Therapists,23.93909538737125,22.532019704433495,45.107926556202415,8.420958351992835
Community and Personal Service Workers,Cafe Workers,51.9949281487743,16.698224852071007,12.278951817413356,19.027895181741336
Community and Personal Service Workers,"Carers and Aides, nfd",41.504286827747464,25.867108339828526,13.990646921278254,18.63795791114575
Community and Personal Service Workers,Child Carers,13.885606157346675,21.71091582405591,39.04714363659581,25.356334382001602
Community and Personal Service Workers,Defence Force Members - Other Ranks,49.05490688623218,30.855468204865794,11.173652137507558,8.915972771394458
Community and Personal Service Workers,Dental Assistants,29.844038153861188,43.70473503584558,11.745380378363196,14.705846431930041
Community and Personal Service Workers,"Dental Hygienists, Technicians and Therapists",5.989844085252467,7.459590902589043,43.85281075668717,42.69775425547132
Community and Personal Service Workers,Diversional Therapists,16.297905966021336,36.299881469774796,22.13551955748716,25.266693006716714
Community and Personal Service Workers,Driving Instructors,24.692564541086405,42.31614952357683,14.357846730189754,18.633439205147
Community and Personal Service Workers,Education Aides,28.979183920862813,35.893971711600834,16.59826679189936,18.528577575636998
Community and Personal Service Workers,Enrolled and Mothercraft Nurses,3.3218053101182794,17.68340940383135,69.3936404340897,9.601144851960667
Community and Personal Service Workers,Fire and Emergency Workers,20.054743822044028,40.853541000038554,19.035043756505647,20.056671421411775
Community and Personal Service Workers,Fitness Instructors,18.700082881253767,33.597046413502106,18.7208031946956,28.98206751054852
Community and Personal Service Workers,Funeral Workers,50.30798389007344,24.579483534707414,13.16038853352286,11.952144041696279
Community and Personal Service Workers,"Gallery, Museum and Tour Guides",25.791156100159828,13.36174746936601,11.736814064997336,49.11028236547683
Community and Personal Service Workers,Gaming Workers,42.62680439676864,17.719507350019867,13.26314395444312,26.390544298768376
Community and Personal Service Workers,"Health and Welfare Support Workers, nfd",19.31960049937578,20.53682896379526,14.51310861423221,45.63046192259675
Community and Personal Service Workers,"Hospitality Workers, nfd",50.09854771784232,17.96161825726141,12.826763485477178,19.113070539419088
Community and Personal Service Workers,Hotel Service Managers,32.16442248700313,14.420872485388614,19.642222868029318,33.772482159578935
Community and Personal Service Workers,Indigenous Health Workers,32.60015710919089,37.15632364493323,21.157371039539147,9.08614820633674
Community and Personal Service Workers,Massage Therapists,13.007414082660876,5.64862982837013,54.21906361364846,27.124892475320525
Community and Personal Service Workers,Nursing Support and Personal Care Workers,25.154107932711334,38.09917428046325,13.82442687677521,22.922290910050208
Community and Personal Service Workers,Other Hospitality Workers,40.021810250817886,16.020620600773274,13.680975513036582,30.276593635372258
Community and Personal Service Workers,Other Personal Service Workers,39.086786641188716,19.824316230784586,14.642215440778028,26.446681687248667
Community and Personal Service Workers,Outdoor Adventure Guides,14.262270625093242,23.67596598537968,11.293450693719231,50.76831269580785
Community and Personal Service Workers,Personal Care Consultants,38.914827391058296,8.70826259196378,24.434069043576685,27.942840973401246
Community and Personal Service Workers,"Personal Carers and Assistants, nfd",40.97769340294257,28.656858092074035,13.061224489795919,17.30422401518747
Community and Personal Service Workers,Police,16.624923961152014,7.262811234870891,46.80469028590607,29.307574518071025
Community and Personal Service Workers,Prison Officers,29.262562790075826,46.242145271883416,12.4873464866207,12.00794545142006
Community and Personal Service Workers,Security Officers and Guards,43.96118513110665,25.6823021232585,12.768145038632353,17.588367707002494
Community and Personal Service Workers,Special Care Workers,23.390526470156914,22.422642616219388,23.625164980202378,30.561665933421324
Community and Personal Service Workers,"Sports Coaches, Instructors and Officials",35.393908431128004,16.69847184865742,14.235698937656833,33.671920782557734
Community and Personal Service Workers,Sportspersons,45.6351470511956,20.908760827843768,16.702111105347786,16.753981015612844
Community and Personal Service Workers,Tourism and Travel Advisers,28.609398256432065,19.79162236870083,23.62002976823304,27.978949606634064
Community and Personal Service Workers,Travel Attendants,46.40455809683255,18.135176734264032,17.757135527772526,17.703129641130882
Community and Personal Service Workers,Waiters,42.98590959898245,14.075534240390283,13.621822226382474,29.316733934244798
Community and Personal Service Workers,Welfare Support Workers,15.692062625666276,18.787142912839823,23.15267094790663,42.36812351358728
Labourers,Aquaculture Workers,47.58974358974359,31.128205128205128,6.666666666666667,14.615384615384615
Labourers,Building and Plumbing Labourers,55.51070601028188,33.89373124811414,4.74924423139329,5.846318510210706
Labourers,Car Detailers,68.2520410299351,17.626125183169354,5.727444002512038,8.394389784383504
Labourers,Caretakers,44.92960256638745,34.9670290500802,9.116022099447514,10.987346284084833
Labourers,"Cleaners and Laundry Workers, nfd",68.03873127191585,14.350892572521518,7.1047178833280205,10.505658272234617
Labourers,Commercial Cleaners,62.03309561126105,14.838308803754092,7.642656428233593,15.485939156751275
Labourers,Concreters,53.04637208598753,42.641645797267095,2.578281257878549,1.7337008588668337
Labourers,"Construction and Mining Labourers, nfd",54.9642480365725,35.90434884538741,4.325401476966358,4.806001641073731
Labourers,Crop Farm Workers,63.988029976653294,16.008616353012496,5.972112941297871,14.031240729036336
Labourers,Deck and Fishing Hands,52.36459709379128,32.00528401585205,8.480845442536328,7.149273447820344
Labourers,Domestic Cleaners,60.60288152189117,15.629558579621525,10.202226085566412,13.565333812920887
Labourers,"Factory Process Workers, nfd",72.52870264064293,13.785878300803674,4.434557979334099,9.250861079219288
Labourers,"Farm, Forestry and Garden Workers, nfd",62.551194539249146,24.70136518771331,5.315699658703072,7.431740614334471
Labourers,Fast Food Cooks,53.14596690025346,16.549873266736245,11.791163461060584,18.512996371949704
Labourers,Fencers,60.13699550063797,32.11335706131221,4.31804445638305,3.431602981666779
Labourers,Food and Drink Factory Workers,56.81835667025697,20.743575934759196,7.611747961224804,14.826319433759041
Labourers,"Food Process Workers, nfd",63.87234042553192,17.95744680851064,4.808510638297872,13.361702127659575
Labourers,Food Trades Assistants,60.78192387024189,16.89480592537034,7.922370148134259,14.400900056253517
Labourers,Forestry and Logging Workers,57.052227795809976,26.940100324579525,5.783416937149603,10.224254942460904
Labourers,Freight and Furniture Handlers,62.48256264531128,25.96228364763627,5.16404029966417,6.391113407388271
Labourers,Garden and Nursery Labourers,56.16701917172682,31.69952923517773,6.197721225353074,5.935730367742376
Labourers,Handypersons,44.33317562950113,40.17899384955054,7.5842401303685,7.903590390579824
Labourers,Housekeepers,57.94297656366622,13.459720356272081,7.890729959695477,20.706573120366222
Labourers,Insulation and Home Improvement Installers,53.227872422185214,38.31177148712694,4.487959523504547,3.9723965671832966
Labourers,Kitchenhands,57.00890954478111,14.841292391370526,9.269782639579486,18.88001542426887
Labourers,"Labourers, nfd",65.6028319178408,23.865623819451248,4.291250996907837,6.240293265800116
Labourers,Laundry Workers,65.83120345178223,12.842498694588725,6.969522082062275,14.356775771566767
Labourers,Livestock Farm Workers,58.765143031660394,26.429044080219892,6.380433676066375,8.425379212053345
Labourers,"Meat Boners and Slicers, and Slaughterers",64.80807240195568,25.049412254239048,3.1129720170602306,7.029543326745032
Labourers,"Meat, Poultry and Seafood Process Workers",70.36619881014266,15.127360942644254,4.734881303067059,9.771558944146017
Labourers,Metal Engineering Process Workers,62.3684953041235,29.162803821193922,3.938086984562054,4.53061389012052
Labourers,"Miscellaneous Factory Process Workers, nfd",74.41070290932258,14.843915905712468,4.05606285835634,6.689318326608622
Labourers,Mixed Crop and Livestock Farm Workers,49.0598618572525,35.993860322333084,5.237912509593247,9.708365310821183
Labourers,Motor Vehicle Parts and Accessories Fitters,61.887880405766154,33.430859583555794,2.7805659369994657,1.9006940736785904
Labourers,Other Cleaners,58.88982484677724,26.194556598018995,7.1746013303511775,7.741017224852586
Labourers,Other Construction and Mining Labourers,49.757154899048686,39.24457110745394,4.32705816240517,6.671215831092201
Labourers,Other Factory Process Workers,71.84285756387963,15.44015796764021,4.491467979134125,8.225516489346028
