occ_group,occ,No qualification,Cert III/IV,Dip/Ad-dip,Bachelor
Clerical and Administrative Workers,Accounting Clerks,13277.2,6298.4,5492.5,12909.3
Clerical and Administrative Workers,Bank Workers,7623,2532.5,2300,8149.1
Clerical and Administrative Workers,Betting Clerks,261.4,71.5,41.5,88.9
Clerical and Administrative Workers,Bookkeepers,7747.1,4243.4,3743.2,6988
Clerical and Administrative Workers,Call or Contact Centre Workers,5699.9,2489.2,1591.4,2756.3
Clerical and Administrative Workers,"Clerical and Administrative Workers, nfd",382.90000000000003,197.4,155.8,446.7
Clerical and Administrative Workers,"Contract, Program and Project Administrators",7863,5860.7,6309.8,23325.9
Clerical and Administrative Workers,Conveyancers and Legal Executives,1246.4,449.8,1009.4,1290.5
Clerical and Administrative Workers,Couriers and Postal Deliverers,6275.8,2087.8,1161.8,1592.8
Clerical and Administrative Workers,Court and Legal Clerks,1225.5,527.4,608.4,1525.3
Clerical and Administrative Workers,Credit and Loans Officers (Aus) / Finance Clerks (NZ),3733.1,1458.9,1685.4,5113.6
Clerical and Administrative Workers,Debt Collectors,1184.1,532.1,339.7,854.6
Clerical and Administrative Workers,Filing and Registry Clerks,1420.6,686.7,558.7,1168.1
Clerical and Administrative Workers,"Financial and Insurance Clerks, nfd",77.9,19.9,36,171.4
Clerical and Administrative Workers,General Clerks,29488.100000000002,13174.3,10642.1,17855.3
Clerical and Administrative Workers,Human Resource Clerks,1344.2,845.2,737.9,1271.1
Clerical and Administrative Workers,Information Officers,7838.2,4481.4,3003.2,6093.8
Clerical and Administrative Workers,Inspectors and Regulatory Officers,3367.7,2659,1775.3,4837.9
Clerical and Administrative Workers,"Insurance Investigators, Loss Adjusters and Risk Surveyors",331.8,543.3,240.9,558.7
Clerical and Administrative Workers,"Insurance, Money Market and Statistical Clerks",4282.9,1866.3,1735.4,3999.2
Clerical and Administrative Workers,Keyboard Operators,7195.2,2970.3,2113.4,3501.5
Clerical and Administrative Workers,Library Assistants,409.8,240.20000000000002,263.2,443.2
